run_name,run_label,model_alias,model_name,family,parameter_count,backend,device,quantization,device_map,task_source,dataset_split,dataset_shuffle_seed,max_tasks,max_steps,max_new_tokens,temperatures,seeds,step_cost,prompt_mode,system_prompt_mode,step1_accuracy,peak_accuracy,peak_step,corrected_boundary_step,empirical_boundary_step,pooled_proxy_boundary_step,fitted_boundary_step,repair_rate_overall,corruption_rate_overall,hazard_rule_gap,e_process_gap,never_stop_gap,probe_brier,probe_auc,runs_ever_correct,capability_gate_met,total_repairs,total_corruptions,best_detector,strongest_correctness_signal,strongest_correctness_feature,strongest_corruption_signal,strongest_corruption_feature,legacy_proxy_mismatch,late_boundary_assessment,task_alignment_ok,task_alignment_note
deepseek_r1_distill_1p5b__gpqa,DeepSeek 1.5B,deepseek_r1_distill_1p5b,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,DeepSeek-R1 distill,1.5B,transformers+torch(cuda),cuda,none,,gpqa,train,17,448,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.20684523809523808,0.2269345238095238,10,2.0,2.0,2.0,2.0,0.1015666435110495,0.366313017779389,0.2028645833333333,0.203422619047619,0.5900297619047619,0.2488848948454936,0.5325481653238135,641,True,968,941,first_answer,"answer revision flag (answer_changed, coeff=-0.188)",answer_changed,"answer revision flag (answer_changed, coeff=0.659)",answer_changed,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
deepseek_r1_distill_7b__gpqa,DeepSeek 7B,deepseek_r1_distill_7b,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,DeepSeek-R1 distill,7B,transformers+torch(cuda),cuda,none,,gpqa,train,17,448,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.21354166666666666,0.21428571428571427,5,2.0,2.0,2.0,2.0,0.1059226972154193,0.4182951610964694,0.2505208333333333,0.3407366071428571,0.6399181547619047,0.2475617992202657,0.5502377193220231,684,True,1020,1033,verifier_first_correct,"token entropy (entropy_mean, coeff=0.148)",entropy_mean,"answer revision flag (answer_changed, coeff=0.692)",answer_changed,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_0p5b__gpqa,Qwen 0.5B,qwen2p5_0p5b,Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5 instruct,0.5B,transformers+torch(cuda),cuda,none,,gpqa,train,17,448,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.20342771982116245,0.20342771982116245,1,2.0,2.0,2.0,2.0,0.0271365559923598,0.1342203170926609,0.0665797317436661,0.0543591654247391,0.4625558867362146,0.2485217983589515,0.5451923427529626,398,True,266,302,first_answer,"verbosity-confidence proxy (verbose_confidence_proxy, coeff=-0.175)",verbose_confidence_proxy,"answer revision flag (answer_changed, coeff=0.844)",answer_changed,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_3b__gpqa,Qwen 3B,qwen2p5_3b,Qwen/Qwen2.5-3B-Instruct,Qwen2.5 instruct,3B,transformers+torch(cuda),cuda,none,,gpqa,train,17,448,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.1690245718540581,0.22784810126582278,10,2.0,2.0,2.0,2.0,0.0344846395646138,0.105281596923121,0.1324274013402829,0.1374534623976172,0.48596425912137,0.2458637613160621,0.5728548756380601,483,True,334,255,first_answer,"token entropy (entropy_mean, coeff=0.311)",entropy_mean,"answer revision flag (answer_changed, coeff=0.579)",answer_changed,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_7b__gpqa,Qwen 7B,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,Qwen2.5 instruct,7B,transformers+torch(cuda),cuda,none,,gpqa,train,17,448,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.3117559523809524,0.32961309523809523,5,2.0,2.0,2.0,2.0,0.0244913005466673,0.0473155832314588,0.0777157738095238,0.0630952380952381,0.4444940476190476,0.2492559087828362,0.531639328352635,590,True,203,180,first_answer,"entropy volatility (entropy_std, coeff=0.221)",entropy_std,"hidden-state L2 drift (hidden_l2_shift, coeff=0.922)",hidden_l2_shift,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_14b__gpqa,Qwen 14B,qwen2p5_14b,Qwen/Qwen2.5-14B-Instruct,Qwen2.5 instruct,14B,transformers+torch(cuda),cuda,none,,gpqa,train,17,448,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.3325892857142857,0.35788690476190477,9,2.0,2.0,2.0,2.0,0.0175548374572768,0.0257319726557649,0.0790550595238095,0.0491071428571428,0.4319940476190476,0.2492818911698648,0.5373037999245793,570,True,140,106,first_answer,"token entropy (entropy_mean, coeff=0.132)",entropy_mean,"hidden-state L2 drift (hidden_l2_shift, coeff=0.702)",hidden_l2_shift,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
qwen2p5_32b__gpqa,Qwen 32B,qwen2p5_32b,Qwen/Qwen2.5-32B-Instruct,Qwen2.5 instruct,32B,transformers+torch(cuda),cuda,none,,gpqa,train,17,448,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.28273809523809523,0.3705357142857143,9,2.0,2.0,2.0,3.0,0.0275804262299892,0.0288908880897926,0.0923363095238095,0.1058407738095238,0.435751488095238,0.2480496916635739,0.536975043846534,599,True,228,110,first_answer,"self-reported confidence (confidence, coeff=0.192)",confidence,"answer revision flag (answer_changed, coeff=0.398)",answer_changed,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
mistral_7b_instruct_v0p3__gpqa,Mistral instruct 7B,mistral_7b_instruct_v0p3,mistralai/Mistral-7B-Instruct-v0.3,Mistral instruct,7B,transformers+torch(cuda),cuda,none,,gpqa,train,17,448,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.2775297619047619,0.28794642857142855,4,2.0,2.0,2.0,2.0,0.0518331559007924,0.1308847042526407,0.1598586309523809,0.1670758928571428,0.5355282738095238,0.2496527066283708,0.5209210842502355,666,True,453,440,first_answer,"lexical echo (lexical_echo, coeff=0.139)",lexical_echo,"answer revision flag (answer_changed, coeff=0.672)",answer_changed,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
phi_4_mini_instruct__gpqa,Phi 4 4B,phi_4_mini_instruct,microsoft/Phi-4-mini-instruct,Phi 4,4B,transformers+torch(cuda),cuda,none,,gpqa,train,17,448,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.26413690476190477,0.2864583333333333,7,2.0,2.0,2.0,2.0,0.0889111578510297,0.2255275740739794,0.2209821428571428,0.2629464285714286,0.5880952380952381,0.2479573371880748,0.5486219877797719,743,True,780,750,verifier_first_correct,"self-reported confidence (confidence, coeff=0.132)",confidence,"answer revision flag (answer_changed, coeff=0.515)",answer_changed,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
internlm3_8b_instruct__gpqa,InternLM3 8B,internlm3_8b_instruct,internlm/InternLM3-8B-Instruct,InternLM3,8B,transformers+torch(cuda),cuda,none,,gpqa,train,17,448,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.35193452380952384,0.3742559523809524,3,2.0,2.0,2.0,2.0,0.0309997981585354,0.0491142913636409,0.0837425595238095,0.06328125,0.457328869047619,0.2494008691654259,0.5266498655308893,629,True,239,216,first_answer,"answer revision flag (answer_changed, coeff=-0.100)",answer_changed,"hidden-state L2 drift (hidden_l2_shift, coeff=0.996)",hidden_l2_shift,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
yi_1p5_9b_chat__gpqa,Yi 1.5 9B,yi_1p5_9b_chat,01-ai/Yi-1.5-9B-Chat,Yi 1.5,9B,transformers+torch(cuda),cuda,none,,gpqa,train,17,448,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.2695457930007446,0.30230826507818315,10,2.0,2.0,2.0,2.0,0.045188723982325,0.1023429013272466,0.1305658972449739,0.1125465376023827,0.4954206999255398,0.2488397555765041,0.5167248854047857,596,True,393,349,first_answer,"self-reported confidence (confidence, coeff=0.215)",confidence,"answer revision flag (answer_changed, coeff=0.864)",answer_changed,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
mistral_small_24b_2409__gpqa,Mistral Small 22B,mistral_small_24b_2409,mistralai/Mistral-Small-Instruct-2409,Mistral Small,22B,transformers+torch(cuda),cuda,none,,gpqa,train,17,448,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.17038690476190477,0.3556547619047619,10,2.0,2.0,2.0,3.0,0.0555854573674493,0.0792911293147967,0.2228422619047619,0.2612723214285714,0.4828497023809523,0.2405060101668998,0.6137823481999242,665,True,497,248,verifier_first_correct,"entropy volatility (entropy_std, coeff=0.380)",entropy_std,"hidden-state L2 drift (hidden_l2_shift, coeff=0.804)",hidden_l2_shift,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
llama_3p1_8b_instruct__gpqa,Llama 3.1 8B,llama_3p1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,Llama 3.1,8B,transformers+torch(cuda),cuda,none,,gpqa,train,17,448,10,256,0.1 0.6 1.0,7,0.05,minimal_json,default,0.1721311475409836,0.3256333830104322,10,2.0,2.0,2.0,3.0,0.1004515652542817,0.2105070751217208,0.3381892697466468,0.4357675111773472,0.629806259314456,0.2446447224068888,0.5714616068417987,853,True,885,679,verifier_first_correct,"self-reported confidence (confidence, coeff=0.346)",confidence,"hidden-state L2 drift (hidden_l2_shift, coeff=0.674)",hidden_l2_shift,False,No late-boundary replication,True,Task IDs align across all 13 runs under the shared GSM8K train split and shuffle seed 17 protocol.
