run_id,model_alias,model_name,task_id,domain,difficulty,task_source,task_source_index,temperature,seed,prompt_mode,system_prompt_mode,is_baseline,ever_correct,correct_at_step_1,oracle_stop,first_correct_step,first_model_stop_step,revision_count,best_utility,final_correct,device
qwen_3p5_9b__gpqa_main_00000_e61ff7fc__temp0.60__seed7,qwen_3p5_9b,Qwen/Qwen3.5-9B,gpqa_main_00000_e61ff7fc,gpqa,gpqa_main,gpqa,0,0.6,7,structured_four_line,default,0,0,0,1,5,5,4,0.0,0,cuda
qwen_3p5_9b__gpqa_main_00001_eadb944e__temp0.60__seed7,qwen_3p5_9b,Qwen/Qwen3.5-9B,gpqa_main_00001_eadb944e,gpqa,gpqa_main,gpqa,1,0.6,7,structured_four_line,default,0,1,0,2,2,5,2,0.95,0,cuda
qwen_3p5_9b__gpqa_main_00002_1250771f__temp0.60__seed7,qwen_3p5_9b,Qwen/Qwen3.5-9B,gpqa_main_00002_1250771f,gpqa,gpqa_main,gpqa,2,0.6,7,structured_four_line,default,0,0,0,1,5,5,0,0.0,0,cuda
qwen_3p5_9b__gpqa_main_00003_6e947a5f__temp0.60__seed7,qwen_3p5_9b,Qwen/Qwen3.5-9B,gpqa_main_00003_6e947a5f,gpqa,gpqa_main,gpqa,3,0.6,7,structured_four_line,default,0,0,0,1,5,5,1,0.0,0,cuda
qwen_3p5_9b__gpqa_main_00004_265cc24d__temp0.60__seed7,qwen_3p5_9b,Qwen/Qwen3.5-9B,gpqa_main_00004_265cc24d,gpqa,gpqa_main,gpqa,4,0.6,7,structured_four_line,default,0,1,1,1,1,5,3,1.0,0,cuda
qwen_3p5_9b__gpqa_main_00005_f53e97d9__temp0.60__seed7,qwen_3p5_9b,Qwen/Qwen3.5-9B,gpqa_main_00005_f53e97d9,gpqa,gpqa_main,gpqa,5,0.6,7,structured_four_line,default,0,0,0,1,5,5,1,0.0,0,cuda
qwen_3p5_9b__gpqa_main_00006_3739a204__temp0.60__seed7,qwen_3p5_9b,Qwen/Qwen3.5-9B,gpqa_main_00006_3739a204,gpqa,gpqa_main,gpqa,6,0.6,7,structured_four_line,default,0,0,0,1,5,5,2,0.0,0,cuda
qwen_3p5_9b__gpqa_main_00007_6c27f522__temp0.60__seed7,qwen_3p5_9b,Qwen/Qwen3.5-9B,gpqa_main_00007_6c27f522,gpqa,gpqa_main,gpqa,7,0.6,7,structured_four_line,default,0,1,0,2,2,5,3,0.95,1,cuda
qwen_3p5_9b__gpqa_main_00008_726ae877__temp0.60__seed7,qwen_3p5_9b,Qwen/Qwen3.5-9B,gpqa_main_00008_726ae877,gpqa,gpqa_main,gpqa,8,0.6,7,structured_four_line,default,0,0,0,1,5,5,2,0.0,0,cuda
qwen_3p5_9b__gpqa_main_00009_a047a4da__temp0.60__seed7,qwen_3p5_9b,Qwen/Qwen3.5-9B,gpqa_main_00009_a047a4da,gpqa,gpqa_main,gpqa,9,0.6,7,structured_four_line,default,0,1,0,3,3,5,2,0.9,0,cuda
