run_id,model_alias,model_name,task_id,domain,difficulty,task_source,task_source_index,expected_answer,step,thought,answer,answer_normalized,correct,confidence,model_stop_flag,answer_changed,thought_token_count,raw_generation_tokens,mean_token_logprob,entropy_mean,entropy_std,hidden_norm,hidden_l2_shift,hidden_cosine_shift,lexical_echo,verbose_confidence_proxy,utility,elapsed_seconds,tokens_per_second,gpu_memory_allocated_gb,seed,temperature,device,prompt_mode,system_prompt_mode,is_baseline,parse_success,output_format_type,answer_extraction_source,stop_extraction_source,confidence_extraction_source,hit_max_new_tokens,truncated_output_suspected,raw_text_length_chars,raw_text_length_tokens,raw_text
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,gsm8k_train_00000_b5828bc4,gsm8k,grade_school_math,gsm8k,0,320,1,"thought: Last year, 200 people signed up, but 40 did not show up. So, 200 - 40 = 160 people actually ran last year. This year, there will be twice as many runners as last year, so 160 * 2 = 320 people will run this year.",320,320,1,50,0,0,43,93,-0.0692628026008606,0.1372697949409485,0.2676601409912109,118.5399932861328,0.0,0.0,0.0,1.4300000000000002,1.0,23.18669742206112,4.010920499247755,14.21644163131714,7,0.1,cuda,minimal_json,default,0,0,fallback_freeform,full_text_cue_segment,default,default,0,0,259,93,"thought: Last year, 200 people signed up, but 40 did not show up. So, 200 - 40 = 160 people actually ran last year. This year, there will be twice as many runners as last year, so 160 * 2 = 320 people will run this year.
answer: 320
confidence: 100
stop: true"
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,gsm8k_train_00000_b5828bc4,gsm8k,grade_school_math,gsm8k,0,320,2,"Verification: Last year, 200 signed up, 40 did not show up, so 160 ran. This year, twice as many, so 160 * 2 = 320.",320,320,1,50,1,0,23,79,-0.0806087478995323,0.1683584302663803,0.3351821601390838,108.09064483642578,66.78970336914062,0.1698139905929565,0.6428571428571429,1.29,0.95,23.816205287817866,3.3170691571259248,14.21644163131714,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,186,79,"{
  ""thought"": ""Verification: Last year, 200 signed up, 40 did not show up, so 160 ran. This year, twice as many, so 160 * 2 = 320."",
  ""answer"": ""320"",
  ""confidence"": 50,
  ""stop"": 1
}"
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,gsm8k_train_00000_b5828bc4,gsm8k,grade_school_math,gsm8k,0,320,3,"The calculation and logic are correct, confirming that this year there will be 320 runners.",320,320,1,100,1,0,15,52,-0.1374687403440475,0.302165538072586,0.5609062910079956,94.16484832763672,74.57667541503906,0.2636851072311401,0.1944444444444444,1.52,0.9,24.97924965014681,2.081727863258469,14.21644163131714,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,163,52,"{
  ""thought"": ""The calculation and logic are correct, confirming that this year there will be 320 runners."",
  ""answer"": ""320"",
  ""confidence"": 100,
  ""stop"": 1
}"
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,gsm8k_train_00000_b5828bc4,gsm8k,grade_school_math,gsm8k,0,320,4,"The previous steps have verified the calculation and logic, confirming the number of runners this year.",320,320,1,100,1,0,16,50,-0.1491293311119079,0.2957979738712311,0.5193367600440979,100.53379821777344,29.31309509277344,0.0432405471801757,0.2162162162162162,1.5,0.85,19.979929965920743,2.502511274327974,14.21644163131714,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,175,50,"{
  ""thought"": ""The previous steps have verified the calculation and logic, confirming the number of runners this year."",
  ""answer"": ""320"",
  ""confidence"": 100,
  ""stop"": 1
}"
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,gsm8k_train_00000_b5828bc4,gsm8k,grade_school_math,gsm8k,0,320,5,"The problem and solution have been verified multiple times, confirming the number of runners this year.",320,320,1,100,1,0,16,50,-0.1340879797935485,0.2743807733058929,0.5184626579284668,100.98321533203124,20.14342498779297,0.0199737548828125,0.3846153846153846,1.5,0.8,29.44519836222753,1.6980697288879631,14.21644163131714,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,175,50,"{
  ""thought"": ""The problem and solution have been verified multiple times, confirming the number of runners this year."",
  ""answer"": ""320"",
  ""confidence"": 100,
  ""stop"": 1
}"
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,gsm8k_train_00000_b5828bc4,gsm8k,grade_school_math,gsm8k,0,320,6,"The problem and solution have been verified multiple times, confirming the number of runners this year.",320,320,1,100,1,0,16,50,-0.0498669818043708,0.1359293907880783,0.3822779953479767,102.09291076660156,20.39636993408203,0.0201161503791809,0.7894736842105263,1.5,0.75,22.277737458702177,2.244393089409934,14.21644163131714,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,175,50,"{
  ""thought"": ""The problem and solution have been verified multiple times, confirming the number of runners this year."",
  ""answer"": ""320"",
  ""confidence"": 100,
  ""stop"": 1
}"
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,gsm8k_train_00000_b5828bc4,gsm8k,grade_school_math,gsm8k,0,320,7,"The problem and solution have been verified multiple times, confirming the number of runners this year.",320,320,1,100,1,0,16,50,-0.0438861958682537,0.1025557294487953,0.3745289742946625,101.91462707519533,7.281315803527832,0.0025460720062255,1.0,1.5,0.7,27.425419146660715,1.823126192989759,14.21644163131714,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,175,50,"{
  ""thought"": ""The problem and solution have been verified multiple times, confirming the number of runners this year."",
  ""answer"": ""320"",
  ""confidence"": 100,
  ""stop"": 1
}"
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,gsm8k_train_00000_b5828bc4,gsm8k,grade_school_math,gsm8k,0,320,8,"The answer has been consistently verified, so no new verification is needed.",320,320,1,100,1,0,12,46,-0.1303015798330307,0.283414214849472,0.5473185181617737,100.2151870727539,31.6297664642334,0.0488355159759521,0.125,1.46,0.6499999999999999,24.941751338075846,1.844297113562223,14.21644163131714,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,148,46,"{
  ""thought"": ""The answer has been consistently verified, so no new verification is needed."",
  ""answer"": ""320"",
  ""confidence"": 100,
  ""stop"": 1
}"
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,gsm8k_train_00000_b5828bc4,gsm8k,grade_school_math,gsm8k,0,320,9,"The answer has been consistently verified, so no new verification is needed.",320,320,1,100,1,0,12,46,-0.0443136692047119,0.1211008951067924,0.3353525400161743,101.84954833984376,17.822317123413086,0.0154290795326232,0.5,1.46,0.6,24.708424332086,1.861713210917504,14.21644163131714,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,148,46,"{
  ""thought"": ""The answer has been consistently verified, so no new verification is needed."",
  ""answer"": ""320"",
  ""confidence"": 100,
  ""stop"": 1
}"
qwen2p5_7b__gsm8k_train_00000_b5828bc4__temp0.10__seed7,qwen2p5_7b,Qwen/Qwen2.5-7B-Instruct,gsm8k_train_00000_b5828bc4,gsm8k,grade_school_math,gsm8k,0,320,10,"The answer has been consistently verified, so no new verification is needed.",320,320,1,100,1,0,12,46,-0.037422802299261,0.1018402874469757,0.285323828458786,102.22601318359376,8.745137214660645,0.003665804862976,1.0,1.46,0.55,24.88163906801492,1.8487528041965893,14.21644163131714,7,0.1,cuda,minimal_json,default,0,1,json_exact,json_field,json_field,json_field,0,0,148,46,"{
  ""thought"": ""The answer has been consistently verified, so no new verification is needed."",
  ""answer"": ""320"",
  ""confidence"": 100,
  ""stop"": 1
}"
