step,q_t,n_repairs,n_corruptions,repair_rate,corruption_rate,hazard_mu,entropy_mean,confidence_mean,answer_changed_rate,hidden_shift_mean,n_transitions
1,0.028666666666666667,67,8,0.04598490048043926,0.18604651162790697,-0.010666666666666672,0.36413981263836226,29.994,0.0,0.0,1500
2,0.068,94,30,0.06723891273247497,0.29411764705882354,-0.0073333333333333445,0.34434726332624754,44.879333333333335,0.4246666666666667,30.832794097264607,1500
3,0.11066666666666666,74,47,0.05547226386806597,0.28313253012048195,-0.03200000000000001,0.3495452769398689,60.300666666666665,0.6306666666666667,28.953956785202028,1500
4,0.12866666666666668,80,41,0.061208875286916604,0.21243523316062177,-0.02400000000000001,0.3711332192569971,70.35066666666667,0.692,28.620221392154694,1500
5,0.15466666666666667,63,39,0.04968454258675079,0.16810344827586207,-0.034,0.3780760846907894,76.57266666666666,0.6693333333333333,28.37891878938675,1500
6,0.17066666666666666,43,51,0.03456591639871383,0.19921875,-0.05533333333333333,0.3794433756967386,80.04733333333333,0.6046666666666667,27.989362092494964,1500
7,0.16533333333333333,43,20,0.034345047923322686,0.08064516129032258,-0.034666666666666665,0.37449196265016993,84.118,0.5493333333333333,26.651457473516466,1500
8,0.18066666666666667,38,26,0.030919446704637917,0.0959409594095941,-0.04200000000000001,0.36859577692548434,86.494,0.45066666666666666,25.044025003353756,1500
9,0.18866666666666668,31,24,0.025472473294987676,0.08480565371024736,-0.04533333333333334,0.3597387872810165,88.146,0.414,23.4813262304465,1500
10,0.19333333333333333,36,23,0.02975206611570248,0.07931034482758621,-0.04133333333333333,0.35444388368477425,89.92466666666667,0.358,21.921020944595337,1500
11,0.202,19,25,0.015873015873015872,0.08250825082508251,-0.054000000000000006,0.35112276082485916,90.94133333333333,0.30933333333333335,20.994871153354644,1500
12,0.198,19,9,0.015793848711554447,0.030303030303030304,-0.043333333333333335,0.34304216568668683,92.03466666666667,0.25666666666666665,20.035798680941262,1500
13,0.20466666666666666,19,9,0.01592623637887678,0.029315960912052116,-0.043333333333333335,0.33678629050403835,92.51066666666667,0.22933333333333333,19.445816612641018,1500
