phase,temperature,seed,step,requested_batch_size,realized_batch_size,prompt_tokens,generated_tokens,wall_clock_seconds,examples_per_second,tokens_per_second,tokenize_seconds,generation_seconds,forward_seconds,postprocess_seconds,hidden_state_write_seconds,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_max_memory_allocated_gb,gpu_max_memory_reserved_gb,split_count,oom_retry_count
generate,0.1,7,1,48,48,12263,3342,17.308082703966647,2.773270778802057,193.08897797409324,0.027584969997406006,13.235801382921636,2.234090912155807,0.5870476509444416,0.0,5.7794880867004395,5.794921875,10.300360202789307,10.54296875,1,0
generate,0.1,7,2,48,48,15036,3603,27.229680310934782,1.7627823555726565,132.31885056517254,0.020076459739357233,21.96048966096714,2.463957048021257,0.8768093381077051,0.0,5.779539585113525,5.794921875,13.17918348312378,13.453125,1,0
generate,0.1,7,3,48,48,18027,3328,25.97295495122671,1.8480762042723577,128.1332834962168,0.0239265039563179,20.06629612715915,3.3419083720073104,0.9850322748534381,0.0,5.77959680557251,5.794921875,11.802114009857178,12.10546875,1,0
generate,0.1,7,4,48,48,20889,3181,22.392460010945797,2.1435786857065646,142.05674581734547,0.02668950706720352,17.283982566092163,3.2225764067843556,0.5348974638618529,0.0,5.779648303985596,5.794921875,10.34169626235962,10.66015625,1,0
generate,0.1,7,5,48,48,23623,3238,25.956213240046054,1.8492682101233513,124.74855134123774,0.029747712891548872,20.02088869502768,4.13482782477513,0.5154172303155065,0.0,5.77970552444458,5.794921875,10.397395610809326,10.73828125,1,0
generate,0.1,7,6,48,48,26378,3251,30.05297270603478,1.5971797688539933,108.17565476134025,0.033702021930366755,23.211091651115566,4.747136492282152,0.5859486730769277,0.0,5.779757022857666,5.794921875,11.35221529006958,11.734375,1,0
generate,0.1,7,7,48,48,29127,3261,33.170838308054954,1.4470541731332742,98.30924288724182,0.03576547326520085,26.61044919723645,4.4090798371471465,0.5776702207513154,0.0,5.779808521270752,5.794921875,11.242693424224854,11.65625,1,0
generate,0.1,7,8,48,48,31896,3255,34.84232957009226,1.3776346355784987,93.42084872516695,0.043171517085283995,27.481936641968787,5.284951325040311,0.5539310830645263,0.0,5.779860019683838,5.794921875,11.378788471221924,11.814453125,1,0
generate,0.1,7,9,48,48,34649,3244,28.76173895318061,1.668883793088315,112.78872968288529,0.04153692116960883,20.980728908907622,6.04053439386189,0.5495301480405033,0.0,5.779911518096924,5.794921875,10.702276229858398,10.935546875,1,0
generate,0.1,7,10,48,48,37495,3298,36.03510823380202,1.3320342952369586,91.5218563685727,0.04503727611154318,31.02880878234282,2.7367934226058424,0.5781215629540384,0.0,5.77996301651001,5.794921875,11.24161672592163,11.736328125,1,0
hidden_state_write,0.1,7,0,48,48,0,0,0.0073987082578241825,,,0.0,0.0,0.0,0.0,0.0073987082578241825,5.779259204864502,5.794921875,11.24161672592163,11.736328125,0,0
generate,0.1,7,1,48,48,12346,3557,23.329576022922993,2.057474167247469,152.46740860206765,0.019282367080450058,18.522012784145772,2.531743965111673,0.7547868913970888,0.0,5.779482364654541,5.794921875,11.486034870147705,11.734375,1,0
generate,0.1,7,2,48,48,15346,3655,37.02990076271817,1.2962497606346965,98.70401823166284,0.020121634006500244,30.272997733205557,2.848411819897592,1.1259742178954184,0.0,5.779533863067627,5.794921875,14.692347049713135,14.9765625,1,0
generate,0.1,7,3,48,48,18520,3564,24.654353947844356,1.9469177777500375,144.5586449979403,0.026713355910032988,18.71387738501653,3.662922816351056,0.9746560133062303,0.0,5.779613971710205,5.794921875,10.619391918182373,10.9140625,1,0
generate,0.1,7,4,48,48,21659,3407,27.49216627003625,1.7459519023902916,123.92621107174425,0.02712183678522706,20.51511443965137,4.123112755827606,1.254873753990978,0.0,5.779665470123291,5.794921875,10.591742992401123,10.9140625,1,0
generate,0.1,7,5,48,48,24659,3441,28.743963798042387,1.66991582431888,119.71209065585971,0.03359456080943346,21.549643652979285,4.525067494716495,1.078068234026432,0.0,5.779728412628174,5.794921875,10.64891767501831,11.01171875,1,0
generate,0.1,7,6,48,48,27708,3416,32.774689179845154,1.4645447813893433,104.22677027554161,0.03635088121518493,25.44740837579593,4.228511827066541,1.3798526269383729,0.0,5.779791355133057,5.794921875,10.665156841278076,11.05078125,1,0
