model,feature,coefficient
correctness_probe,step,-0.014323223315078282
correctness_probe,entropy_mean,-0.016736435783187304
correctness_probe,entropy_std,0.1353131139124223
correctness_probe,confidence,-0.02075155227491012
correctness_probe,answer_changed,-0.06393944619830995
correctness_probe,thought_token_count,-0.027395205709970033
correctness_probe,hidden_l2_shift,-0.100119979572344
correctness_probe,hidden_cosine_shift,0.045372266223028965
correctness_probe,lexical_echo,0.13850050524131338
correctness_probe,verbose_confidence_proxy,-0.06703821011033824
repair_hazard,step,-0.23958900108890352
repair_hazard,entropy_mean,0.11168583987608872
repair_hazard,entropy_std,0.2514940824192216
repair_hazard,confidence,-0.24693020005144342
repair_hazard,answer_changed,0.6028537058383562
repair_hazard,thought_token_count,-0.01593215006270846
repair_hazard,hidden_l2_shift,-0.08344068388708044
repair_hazard,hidden_cosine_shift,0.21480990057760538
repair_hazard,lexical_echo,-0.10876441394793251
repair_hazard,verbose_confidence_proxy,0.23322276774239661
corruption_hazard,step,-0.30485945100896794
corruption_hazard,entropy_mean,0.21877715718104493
corruption_hazard,entropy_std,0.0560250729282332
corruption_hazard,confidence,-0.3165954144054063
corruption_hazard,answer_changed,0.6722243869979381
corruption_hazard,thought_token_count,-0.04509504673226066
corruption_hazard,hidden_l2_shift,0.4220312225040812
corruption_hazard,hidden_cosine_shift,-0.23650837054323204
corruption_hazard,lexical_echo,-0.48329706897287744
corruption_hazard,verbose_confidence_proxy,0.3087150131031719
