step,q_t,n_repairs,n_corruptions,repair_rate,corruption_rate,hazard_mu,entropy_mean,confidence_mean,answer_changed_rate,hidden_shift_mean,n_transitions
1,0.11666666666666667,59,54,0.04452830188679245,0.30857142857142855,-0.04666666666666667,0.26091022790471713,84.18666666666667,0.0,0.0,1500
2,0.12,55,37,0.041666666666666664,0.20555555555555555,-0.038,0.225956331923604,86.04533333333333,0.5866666666666667,42.71858709081014,1500
3,0.132,38,30,0.029185867895545316,0.15151515151515152,-0.044666666666666674,0.2177752584827443,86.75933333333333,0.484,36.073319465637205,1500
4,0.13733333333333334,38,30,0.02936630602782071,0.14563106796116504,-0.044666666666666674,0.22528343208072085,87.42466666666667,0.4613333333333333,35.24078532632192,1500
5,0.14266666666666666,31,32,0.02410575427682737,0.14953271028037382,-0.05066666666666667,0.23288053071312606,88.072,0.4553333333333333,34.12928607686361,1500
6,0.14209472981987992,40,22,0.03110419906687403,0.10328638497652583,-0.03799199466310874,0.23776661805694227,88.73582388258839,0.4242828552368246,33.447485222666955,1499
7,0.15410273515677117,20,26,0.015772870662460567,0.11255411255411256,-0.054002668445630425,0.23867571299238313,88.70246831220814,0.40360240160106736,32.57184030693161,1500
8,0.15,24,20,0.018823529411764704,0.08888888888888889,-0.04733333333333334,0.23099395866319536,89.674,0.382,31.61313958009084,1500
9,0.15266666666666667,20,20,0.015735641227380016,0.08733624454148471,-0.05,0.2309088194395105,89.60266666666666,0.35933333333333334,31.46928001006444,1500
10,0.15266666666666667,15,15,0.011801730920535013,0.06550218340611354,-0.05,0.22337772896513342,90.83333333333333,0.362,30.305302975336712,1500
11,0.15266666666666667,21,19,0.016522423288749016,0.08296943231441048,-0.04866666666666667,0.21664274242520332,91.17733333333334,0.3373333333333333,29.813913880348206,1500
12,0.154,15,16,0.01182033096926714,0.06926406926406926,-0.050666666666666665,0.21156584199642142,91.92133333333334,0.33066666666666666,29.04551943365733,1500
13,0.15333333333333332,15,12,0.011811023622047244,0.05217391304347826,-0.048,0.21303945212314526,92.36866666666667,0.30866666666666664,28.575057058970135,1500
