model,feature,coefficient
correctness_probe,step,0.09277217700442437
correctness_probe,entropy_mean,-0.2131990481640308
correctness_probe,entropy_std,0.29381734551866406
correctness_probe,confidence,0.3200660873960241
correctness_probe,answer_changed,-0.21170746352989095
correctness_probe,thought_token_count,-0.0024018969879782692
correctness_probe,hidden_l2_shift,0.4106202276456157
correctness_probe,hidden_cosine_shift,-0.2459720970474028
correctness_probe,lexical_echo,0.19631430117510015
correctness_probe,verbose_confidence_proxy,0.32006608739598913
repair_hazard,step,-0.7445404543579962
repair_hazard,entropy_mean,-0.028887664179763295
repair_hazard,entropy_std,0.14910389774512106
repair_hazard,confidence,0.03578079534436123
repair_hazard,answer_changed,0.3566813414169186
repair_hazard,thought_token_count,0.1573047717389444
repair_hazard,hidden_l2_shift,0.25332774479255504
repair_hazard,hidden_cosine_shift,-0.12299261828130073
repair_hazard,lexical_echo,-0.8209708253179124
repair_hazard,verbose_confidence_proxy,0.03578079534436361
corruption_hazard,step,-0.08935042373277541
corruption_hazard,entropy_mean,0.25136928616984855
corruption_hazard,entropy_std,-0.28633814302354854
corruption_hazard,confidence,-0.15819717777979195
corruption_hazard,answer_changed,0.5034923274495358
corruption_hazard,thought_token_count,0.10940464162487154
corruption_hazard,hidden_l2_shift,0.22782141917941837
corruption_hazard,hidden_cosine_shift,-0.051744727519351594
corruption_hazard,lexical_echo,-1.039761261759633
corruption_hazard,verbose_confidence_proxy,-0.1581971777797831
